Experiment_timestamp, Model_nickname, Backend, GPU_name, GPU_num, Parallel, Model_data_type, Batch, In_token, Out_token, T_prefill(ms), T_decode(ms), THT_decode(token/s), GPU_power(W)
2024.12.03-22:33:36 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 1    , 1       , 1024     , 35.539       , 36420.219   , 28.116             , 367.096
2024.12.03-22:34:11 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 2    , 1       , 1024     , 32.793       , 35317.012   , 57.989             , 392.788
2024.12.03-22:34:50 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 3    , 1       , 1024     , 36.669       , 38146.893   , 80.531             , 396.634
2024.12.03-22:35:38 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 4    , 1       , 1024     , 46.715       , 48145.410   , 85.076             , 369.032
2024.12.03-22:36:15 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 5    , 1       , 1024     , 35.920       , 37218.681   , 137.565            , 395.039
2024.12.03-22:36:53 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 6    , 1       , 1024     , 36.878       , 37183.075   , 165.236            , 395.767
2024.12.03-22:37:30 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 7    , 1       , 1024     , 37.162       , 37642.553   , 190.423            , 395.457
2024.12.03-22:38:08 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 8    , 1       , 1024     , 37.490       , 37683.205   , 217.391            , 396.945
2024.12.03-22:38:46 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 9    , 1       , 1024     , 37.370       , 37369.673   , 246.617            , 396.486
2024.12.03-22:39:23 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 10   , 1       , 1024     , 37.265       , 37617.724   , 272.212            , 396.536
2024.12.03-22:40:01 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 11   , 1       , 1024     , 38.081       , 37833.270   , 297.727            , 397.181
2024.12.03-22:40:39 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 12   , 1       , 1024     , 38.644       , 37995.110   , 323.410            , 397.751
2024.12.03-22:41:18 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 13   , 1       , 1024     , 38.588       , 38120.264   , 349.211            , 397.174
2024.12.03-22:41:57 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 14   , 1       , 1024     , 38.829       , 39249.710   , 365.251            , 396.879
2024.12.03-22:42:37 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 15   , 1       , 1024     , 39.494       , 39323.674   , 390.604            , 398.584
2024.12.03-22:43:16 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 16   , 1       , 1024     , 38.763       , 39428.030   , 415.542            , 397.397
2024.12.03-22:44:01 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 17   , 1       , 1024     , 44.622       , 45158.718   , 385.485            , 396.913
2024.12.03-22:44:47 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 18   , 1       , 1024     , 45.346       , 45232.135   , 407.498            , 397.509
2024.12.03-22:45:32 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 19   , 1       , 1024     , 44.940       , 45419.822   , 428.359            , 398.840
2024.12.03-22:46:18 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 20   , 1       , 1024     , 45.622       , 45571.510   , 449.404            , 397.145
2024.12.03-22:47:04 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 21   , 1       , 1024     , 45.791       , 45725.951   , 470.280            , 395.399
2024.12.03-22:47:50 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 22   , 1       , 1024     , 46.189       , 45854.706   , 491.291            , 398.459
2024.12.03-22:48:36 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 23   , 1       , 1024     , 46.382       , 46031.060   , 511.655            , 398.055
2024.12.03-22:49:23 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 24   , 1       , 1024     , 46.678       , 46299.689   , 530.803            , 398.242
2024.12.03-22:50:09 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 25   , 1       , 1024     , 47.582       , 46549.324   , 549.954            , 397.603
2024.12.03-22:50:56 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 26   , 1       , 1024     , 48.242       , 46744.719   , 569.562            , 396.846
2024.12.03-22:51:43 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 27   , 1       , 1024     , 47.411       , 46931.632   , 589.112            , 396.276
2024.12.03-22:52:31 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 28   , 1       , 1024     , 48.754       , 47523.382   , 603.324            , 397.147
2024.12.03-22:53:19 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 29   , 1       , 1024     , 48.255       , 47383.006   , 626.723            , 397.544
2024.12.03-22:54:07 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 30   , 1       , 1024     , 48.973       , 47830.144   , 642.273            , 395.796
2024.12.03-22:54:54 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 31   , 1       , 1024     , 48.878       , 47578.622   , 667.190            , 398.517
2024.12.03-22:55:43 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 32   , 1       , 1024     , 48.687       , 48099.528   , 681.254            , 398.069
2024.12.03-22:56:47 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 33   , 1       , 1024     , 66.897       , 63901.509   , 528.814            , 395.781
2024.12.03-22:57:51 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 34   , 1       , 1024     , 66.645       , 64398.324   , 540.635            , 393.200
2024.12.03-22:58:56 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 35   , 1       , 1024     , 65.559       , 64513.441   , 555.543            , 397.388
2024.12.03-23:00:01 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 36   , 1       , 1024     , 66.626       , 64329.120   , 573.053            , 397.756
2024.12.03-23:01:06 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 37   , 1       , 1024     , 67.227       , 64857.331   , 584.175            , 397.266
2024.12.03-23:02:11 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 38   , 1       , 1024     , 66.616       , 64915.107   , 599.429            , 397.774
2024.12.03-23:03:16 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 39   , 1       , 1024     , 68.570       , 64948.860   , 614.884            , 396.481
2024.12.03-23:04:22 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 40   , 1       , 1024     , 68.282       , 65354.363   , 626.737            , 396.555
2024.12.03-23:05:28 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 41   , 1       , 1024     , 67.564       , 65808.030   , 637.977            , 395.622
2024.12.03-23:06:34 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 42   , 1       , 1024     , 69.666       , 66113.529   , 650.517            , 396.924
2024.12.03-23:07:41 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 43   , 1       , 1024     , 67.219       , 66591.883   , 661.222            , 395.879
2024.12.03-23:08:47 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 44   , 1       , 1024     , 67.455       , 66238.264   , 680.211            , 396.906
2024.12.03-23:09:54 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 45   , 1       , 1024     , 70.679       , 66638.875   , 691.488            , 395.505
2024.12.03-23:11:01 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 46   , 1       , 1024     , 68.036       , 66924.237   , 703.841            , 397.913
2024.12.03-23:12:08 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 47   , 1       , 1024     , 71.160       , 66705.035   , 721.505            , 394.186
2024.12.03-23:13:15 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 48   , 1       , 1024     , 71.840       , 67003.348   , 733.575            , 397.131
2024.12.03-23:14:23 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 49   , 1       , 1024     , 70.748       , 67220.393   , 746.440            , 395.818
2024.12.03-23:15:30 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 50   , 1       , 1024     , 71.994       , 67085.124   , 763.209            , 393.921
2024.12.03-23:16:38 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 51   , 1       , 1024     , 69.468       , 67656.423   , 771.900            , 395.260
2024.12.03-23:17:46 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 52   , 1       , 1024     , 71.028       , 67575.769   , 787.975            , 393.355
2024.12.03-23:18:54 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 53   , 1       , 1024     , 73.033       , 67552.811   , 803.401            , 395.164
2024.12.03-23:20:02 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 54   , 1       , 1024     , 70.950       , 68402.019   , 808.397            , 395.811
2024.12.03-23:21:11 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 55   , 1       , 1024     , 71.285       , 68826.137   , 818.294            , 396.292
2024.12.03-23:22:20 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 56   , 1       , 1024     , 72.153       , 68737.925   , 834.241            , 397.808
2024.12.03-23:23:30 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 57   , 1       , 1024     , 71.134       , 69413.241   , 840.877            , 396.099
2024.12.03-23:24:40 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 58   , 1       , 1024     , 71.807       , 69362.943   , 856.250            , 397.115
2024.12.03-23:25:49 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 59   , 1       , 1024     , 76.494       , 69338.053   , 871.325            , 395.113
2024.12.03-23:26:59 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 60   , 1       , 1024     , 73.225       , 69822.494   , 879.946            , 396.651
2024.12.03-23:28:09 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 61   , 1       , 1024     , 72.734       , 69788.789   , 895.043            , 396.335
2024.12.03-23:29:19 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 62   , 1       , 1024     , 74.525       , 69675.866   , 911.191            , 396.415
2024.12.03-23:30:30 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 63   , 1       , 1024     , 75.669       , 70099.573   , 920.291            , 395.793
2024.12.03-23:31:40 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 64   , 1       , 1024     , 78.138       , 70215.011   , 933.362            , 397.586
2024.12.03-23:33:30 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 65   , 1       , 1024     , 115.491      , 109532.502  , 607.674            , 397.324
2024.12.03-23:35:20 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 66   , 1       , 1024     , 123.899      , 109788.320  , 615.585            , 397.707
2024.12.03-23:37:10 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 67   , 1       , 1024     , 113.186      , 109740.603  , 625.183            , 397.376
2024.12.03-23:39:01 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 68   , 1       , 1024     , 115.311      , 110364.947  , 630.925            , 397.277
2024.12.03-23:40:52 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 69   , 1       , 1024     , 114.358      , 110510.712  , 639.359            , 396.991
2024.12.03-23:42:43 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 70   , 1       , 1024     , 114.630      , 110726.417  , 647.361            , 396.703
2024.12.03-23:44:34 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 71   , 1       , 1024     , 114.760      , 110794.436  , 656.206            , 396.712
2024.12.03-23:46:26 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 72   , 1       , 1024     , 113.976      , 111089.227  , 663.683            , 397.643
2024.12.03-23:48:17 , llama3.1_70b  , trtllm , A100    , 1      , TP1PP1  , W4A16KV8G128   , 73   , 1       , 1024     , 116.200      , 111193.456  , 672.270            , 397.531
