Experiment_timestamp, Model_nickname, Backend, GPU_name, GPU_num, Parallel, Model_data_type, Batch, In_token, Out_token, T_prefill(ms), T_decode(ms), THT_decode(token/s), GPU_power(W)
2024.12.04-11:53:07 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 1    , 1       , 1024     , 19.918       , 19833.615   , 51.630             , 653.647
2024.12.04-11:53:32 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 2    , 1       , 1024     , 24.634       , 24529.276   , 83.492             , 595.538
2024.12.04-11:54:04 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 3    , 1       , 1024     , 31.256       , 31534.309   , 97.418             , 528.038
2024.12.04-11:54:34 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 4    , 1       , 1024     , 30.021       , 30320.350   , 135.091            , 624.915
2024.12.04-11:55:13 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 5    , 1       , 1024     , 38.853       , 38731.144   , 132.193            , 441.328
2024.12.04-11:55:52 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 6    , 1       , 1024     , 39.084       , 38864.900   , 158.086            , 439.192
2024.12.04-11:56:31 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 7    , 1       , 1024     , 39.152       , 38726.367   , 185.094            , 445.852
2024.12.04-11:57:10 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 8    , 1       , 1024     , 39.391       , 38762.484   , 211.338            , 444.185
2024.12.04-11:57:49 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 9    , 1       , 1024     , 39.396       , 38833.608   , 237.320            , 449.269
2024.12.04-11:58:28 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 10   , 1       , 1024     , 40.084       , 38713.162   , 264.510            , 449.572
2024.12.04-11:59:06 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 11   , 1       , 1024     , 40.394       , 38750.329   , 290.681            , 450.769
2024.12.04-11:59:46 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 12   , 1       , 1024     , 40.568       , 38963.253   , 315.374            , 447.013
2024.12.04-12:00:25 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 13   , 1       , 1024     , 40.478       , 38958.163   , 341.700            , 448.133
2024.12.04-12:01:04 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 14   , 1       , 1024     , 41.272       , 38848.415   , 369.024            , 452.796
2024.12.04-12:01:43 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 15   , 1       , 1024     , 41.307       , 38880.154   , 395.060            , 452.792
2024.12.04-12:02:22 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 16   , 1       , 1024     , 41.843       , 39024.641   , 419.837            , 448.920
2024.12.04-12:03:03 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 17   , 1       , 1024     , 43.523       , 41254.790   , 421.963            , 474.411
2024.12.04-12:03:45 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 18   , 1       , 1024     , 45.080       , 41465.314   , 444.516            , 474.234
2024.12.04-12:04:26 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 19   , 1       , 1024     , 44.719       , 41363.653   , 470.365            , 475.171
2024.12.04-12:05:08 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 20   , 1       , 1024     , 43.856       , 41387.870   , 494.831            , 474.711
2024.12.04-12:05:50 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 21   , 1       , 1024     , 44.481       , 41618.578   , 516.692            , 478.607
2024.12.04-12:06:32 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 22   , 1       , 1024     , 44.909       , 41731.372   , 539.834            , 478.510
2024.12.04-12:07:13 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 23   , 1       , 1024     , 44.798       , 41728.972   , 564.404            , 480.454
2024.12.04-12:07:55 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 24   , 1       , 1024     , 46.059       , 41755.578   , 588.568            , 479.907
2024.12.04-12:08:37 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 25   , 1       , 1024     , 45.396       , 41898.440   , 611.001            , 480.320
2024.12.04-12:09:19 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 26   , 1       , 1024     , 47.149       , 41935.847   , 634.874            , 482.401
2024.12.04-12:10:02 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 27   , 1       , 1024     , 46.917       , 41978.267   , 658.627            , 479.788
2024.12.04-12:10:44 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 28   , 1       , 1024     , 47.842       , 41856.451   , 685.008            , 480.777
2024.12.04-12:11:26 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 29   , 1       , 1024     , 47.478       , 42003.576   , 706.987            , 484.363
2024.12.04-12:12:08 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 30   , 1       , 1024     , 47.576       , 42046.053   , 730.627            , 483.472
2024.12.04-12:12:50 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 31   , 1       , 1024     , 48.124       , 42160.575   , 752.931            , 483.854
2024.12.04-12:13:33 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 32   , 1       , 1024     , 49.161       , 41978.948   , 780.582            , 482.825
2024.12.04-12:14:17 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 33   , 1       , 1024     , 51.232       , 44757.948   , 754.994            , 520.170
2024.12.04-12:15:03 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 34   , 1       , 1024     , 51.901       , 45342.712   , 767.841            , 515.963
2024.12.04-12:15:48 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 35   , 1       , 1024     , 50.642       , 45356.194   , 790.190            , 517.983
2024.12.04-12:16:34 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 36   , 1       , 1024     , 51.905       , 45506.677   , 810.079            , 514.242
2024.12.04-12:17:20 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 37   , 1       , 1024     , 52.249       , 45527.637   , 832.198            , 519.960
2024.12.04-12:18:05 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 38   , 1       , 1024     , 52.645       , 45431.320   , 856.502            , 520.076
2024.12.04-12:18:51 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 39   , 1       , 1024     , 51.421       , 45462.485   , 878.439            , 522.891
2024.12.04-12:19:37 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 40   , 1       , 1024     , 52.950       , 45626.988   , 897.714            , 518.545
2024.12.04-12:20:23 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 41   , 1       , 1024     , 53.416       , 45651.013   , 919.673            , 523.285
2024.12.04-12:21:08 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 42   , 1       , 1024     , 53.793       , 45558.960   , 944.007            , 527.676
2024.12.04-12:21:54 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 43   , 1       , 1024     , 53.975       , 45578.080   , 966.078            , 528.179
2024.12.04-12:22:40 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 44   , 1       , 1024     , 52.387       , 45737.375   , 985.102            , 523.165
2024.12.04-12:23:26 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 45   , 1       , 1024     , 53.668       , 45811.012   , 1005.872           , 526.241
2024.12.04-12:24:12 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 46   , 1       , 1024     , 54.161       , 45701.757   , 1030.682           , 531.429
2024.12.04-12:24:58 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 47   , 1       , 1024     , 53.223       , 45785.265   , 1051.168           , 533.430
2024.12.04-12:25:44 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 48   , 1       , 1024     , 54.843       , 45907.102   , 1070.684           , 532.337
2024.12.04-12:26:30 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 49   , 1       , 1024     , 55.286       , 46033.968   , 1089.978           , 530.459
2024.12.04-12:27:17 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 50   , 1       , 1024     , 54.692       , 46306.773   , 1105.670           , 530.042
2024.12.04-12:28:03 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 51   , 1       , 1024     , 54.983       , 46296.291   , 1128.039           , 530.754
2024.12.04-12:28:50 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 52   , 1       , 1024     , 54.750       , 46506.371   , 1144.961           , 530.499
2024.12.04-12:29:37 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 53   , 1       , 1024     , 55.039       , 46477.504   , 1167.705           , 534.043
2024.12.04-12:30:23 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 54   , 1       , 1024     , 55.450       , 46636.941   , 1185.670           , 533.037
2024.12.04-12:31:10 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 55   , 1       , 1024     , 55.539       , 46535.043   , 1210.271           , 535.374
2024.12.04-12:31:57 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 56   , 1       , 1024     , 56.038       , 46685.321   , 1228.309           , 532.002
2024.12.04-12:32:44 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 57   , 1       , 1024     , 59.016       , 46605.500   , 1252.384           , 536.263
2024.12.04-12:33:31 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 58   , 1       , 1024     , 56.607       , 46789.651   , 1269.341           , 536.714
2024.12.04-12:34:18 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 59   , 1       , 1024     , 58.183       , 46820.074   , 1290.387           , 539.424
2024.12.04-12:35:05 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 60   , 1       , 1024     , 56.852       , 46732.977   , 1314.703           , 537.388
2024.12.04-12:35:52 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 61   , 1       , 1024     , 59.029       , 46772.236   , 1335.493           , 539.157
2024.12.04-12:36:39 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 62   , 1       , 1024     , 58.190       , 46977.681   , 1351.450           , 535.015
2024.12.04-12:37:26 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 63   , 1       , 1024     , 60.949       , 46938.848   , 1374.384           , 535.062
2024.12.04-12:38:13 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 64   , 1       , 1024     , 58.720       , 46875.241   , 1398.094           , 534.021
2024.12.04-12:39:08 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 65   , 1       , 1024     , 66.523       , 54776.891   , 1215.111           , 566.122
2024.12.04-12:40:03 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 66   , 1       , 1024     , 68.177       , 54962.195   , 1229.645           , 569.852
2024.12.04-12:40:59 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 67   , 1       , 1024     , 68.258       , 55537.109   , 1235.354           , 565.118
2024.12.04-12:41:55 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 68   , 1       , 1024     , 68.844       , 55410.429   , 1256.659           , 562.302
2024.12.04-12:42:51 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 69   , 1       , 1024     , 66.992       , 55949.187   , 1262.860           , 563.192
2024.12.04-12:43:46 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 70   , 1       , 1024     , 66.621       , 55423.235   , 1293.320           , 566.559
2024.12.04-12:44:42 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 71   , 1       , 1024     , 69.631       , 55342.872   , 1313.701           , 569.840
2024.12.04-12:45:37 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 72   , 1       , 1024     , 68.775       , 55092.346   , 1338.262           , 568.368
2024.12.04-12:46:32 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 73   , 1       , 1024     , 69.656       , 54902.524   , 1361.540           , 571.260
2024.12.04-12:47:28 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 74   , 1       , 1024     , 70.020       , 55216.175   , 1372.351           , 569.165
2024.12.04-12:48:24 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 75   , 1       , 1024     , 69.380       , 55359.628   , 1387.293           , 572.408
2024.12.04-12:49:19 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 76   , 1       , 1024     , 70.505       , 54995.991   , 1415.085           , 572.922
2024.12.04-12:50:14 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 77   , 1       , 1024     , 68.613       , 54924.325   , 1435.575           , 575.880
2024.12.04-12:51:10 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 78   , 1       , 1024     , 70.776       , 55385.388   , 1442.113           , 574.726
2024.12.04-12:52:05 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 79   , 1       , 1024     , 70.128       , 55127.583   , 1467.432           , 576.054
2024.12.04-12:53:00 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 80   , 1       , 1024     , 69.377       , 54692.182   , 1497.837           , 574.957
2024.12.04-12:53:54 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 81   , 1       , 1024     , 70.041       , 54442.284   , 1523.522           , 583.533
2024.12.04-12:54:49 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 82   , 1       , 1024     , 68.096       , 54495.665   , 1540.820           , 584.248
2024.12.04-12:55:44 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 83   , 1       , 1024     , 71.633       , 54941.691   , 1546.949           , 578.232
2024.12.04-12:56:40 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 84   , 1       , 1024     , 71.141       , 55066.152   , 1562.048           , 574.287
2024.12.04-12:57:35 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 85   , 1       , 1024     , 71.585       , 54740.575   , 1590.045           , 580.864
2024.12.04-12:58:30 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 86   , 1       , 1024     , 72.406       , 54899.488   , 1604.095           , 581.526
2024.12.04-12:59:25 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 87   , 1       , 1024     , 72.162       , 54737.897   , 1627.538           , 582.407
2024.12.04-13:00:20 , llama3.1_70b  , trtllm , H800    , 1      , TP1PP1  , W4A16KV8G128   , 88   , 1       , 1024     , 71.936       , 54558.755   , 1651.651           , 582.253
